ALIAS_TABLE,BUS_jl,EBUS,FOREST_OF_TREES,PROPOSAL_ARRAY
1.0108500000000002,14.938000000000002,21.94,57.502,20.322500
1.1321,15.001900000000003,13.8818,60.8416,19.789800
1.56661,15.39702,12.704215,49.69979,22.333615
